medianOR,eta
0.47343837074225803,0.86
0.307911429714582,0.86
0.45972028534650206,0.86
0.5054261676932358,0.86
0.3269715681486774,0.86
0.3704580312573942,0.86
0.8800476755000559,0.86
0.4423541817583116,0.86
0.4306241011384417,0.86
0.418521378871885,0.86
0.446576016414432,0.86
0.37515019129045835,0.86
0.5117880408527674,0.86
0.29728640120668154,0.86
0.4143917177485169,0.86
0.4447887618521532,0.86
0.2728181935536268,0.86
0.4139172248185522,0.86
0.4399086997195696,0.86
0.5293345777506044,0.86
0.3916925934568954,0.86
0.3857028401862893,0.86
0.41148787754382843,0.86
0.33504133871749947,0.86
0.46908658321915686,0.86
0.32908685574148877,0.86
0.3799184548436568,0.86
0.41378832788122527,0.86
0.25899150882341315,0.86
0.3971549103727357,0.86
0.34583965422228063,0.86
0.6417616247361368,0.86
0.5990269496848774,0.86
0.36177830138260514,0.86
0.4893758095322423,0.86
0.48639421491978596,0.86
0.3149077574127106,0.86
0.3102963714856157,0.86
0.5849883836713354,0.86
0.39122807306833385,0.86
0.3530047560755943,0.86
0.5499889891608767,0.86
0.2970516655985561,0.86
0.44489609311655104,0.86
0.5046418225953231,0.86
0.38017370579965826,0.86
0.3169921183746646,0.86
0.4491880476860889,0.86
0.2734684674999939,0.86
0.5396804978763153,0.86
0.5305860100290126,0.86
0.46438919493032615,0.86
0.33642836312586166,0.86
0.30105897391261915,0.86
0.5791793800942442,0.86
0.6664014999497688,0.86
0.43718817134430765,0.86
0.5904243448705508,0.86
0.38083070739470454,0.86
0.34920155951888665,0.86
0.2860691446301305,0.86
0.6994643827381775,0.86
0.4061249512001609,0.86
0.6679711765753806,0.86
0.3651988482047129,0.86
0.5813455857699219,0.86
0.4540437162527762,0.86
0.3416734973515335,0.86
0.3695931103072131,0.86
0.3918292154387451,0.86
0.44548284719179065,0.86
0.4410482283425479,0.86
0.446036154635888,0.86
0.43066258598751445,0.86
0.4505907172814,0.86
0.4810054109527664,0.86
0.5108147394131425,0.86
0.5148366829897212,0.86
0.37788905388153265,0.86
0.5548542738443681,0.86
0.5688249560699108,0.86
0.491539513146862,0.86
0.45406583417181484,0.86
0.5182224636719945,0.86
0.41706103338939743,0.86
0.3452654912279611,0.86
0.4230250871732168,0.86
0.5646584395040579,0.86
0.37384995827034423,0.86
0.38748286149606365,0.86
0.4267625987749652,0.86
0.5473578697292909,0.86
0.4530980657830822,0.86
0.2879755459988102,0.86
0.4381234818467152,0.86
0.5319659393329861,0.86
0.5025078500961262,0.86
0.645894575524177,0.86
0.29543020011032783,0.86
0.3940560169960219,0.86
0.4779048409534601,0.86
0.5945599969050126,0.86
0.33903031957816826,0.86
0.49342053371159555,0.86
0.4613878510145993,0.86
0.3701051930533759,0.86
0.35549623904658534,0.86
0.34681494141818675,0.86
0.4621891836917037,0.86
0.2802347903264821,0.86
0.6518510286459083,0.86
0.4826210475502387,0.86
0.4191752519910229,0.86
0.4264946565141459,0.86
0.3916052123145977,0.86
0.31896662950041177,0.86
0.4349108879814,0.86
0.6067746216663206,0.86
0.5196231913416371,0.86
0.4050546333670753,0.86
0.6954799168011312,0.86
0.4653364229555911,0.86
0.31556071373493927,0.86
0.36552234147106394,0.86
0.29098178595019775,0.86
0.5705233944390972,0.86
0.5193349675887898,0.86
0.43368832146512687,0.86
0.6155991704787029,0.86
0.456852469343919,0.86
0.3728610622438741,0.86
0.379933531972204,0.86
0.52967931695983,0.86
0.3647891979466578,0.86
0.6042866435323927,0.86
0.5645144870621985,0.86
0.47431055698625,0.86
0.47074757237419923,0.86
0.37833406827285887,0.86
0.47109005188362385,0.86
0.5167204264155658,0.86
0.38844862952949616,0.86
0.4530099056521698,0.86
0.41638133539094035,0.86
0.3434033835449952,0.86
0.46128186693704265,0.86
0.5243784247514768,0.86
0.3580640694168158,0.86
0.49501025867592446,0.86
0.43823196038969026,0.86
0.27049745711102957,0.86
0.46669116170956537,0.86
0.459964014291574,0.86
0.4188944518239435,0.86
0.6300209392642204,0.86
0.35748242761904647,0.86
0.427320241321613,0.86
0.5699940107997162,0.86
0.357838560988995,0.86
0.5803540097502259,0.86
0.30459787309323283,0.86
0.6450001765626815,0.86
0.45619363534399754,0.86
0.6988273080772889,0.86
0.39697351387494106,0.86
0.4818665850569736,0.86
0.4544030942063513,0.86
0.4766434709100822,0.86
0.4080139014503746,0.86
0.3355448439373627,0.86
0.38360624105607516,0.86
0.3332011528793265,0.86
0.32674283841565605,0.86
0.4311166115458529,0.86
0.5410356400713192,0.86
0.4503214704712508,0.86
0.36914969647885965,0.86
0.42448775996061716,0.86
0.5045542344275344,0.86
0.46523475370491857,0.86
0.3447725691814571,0.86
0.41193933429555607,0.86
0.34226418272132103,0.86
0.510653325834656,0.86
0.6697843025230108,0.86
0.45934503905982343,0.86
0.36219348268220347,0.86
0.38995054553493874,0.86
0.36646842437224264,0.86
0.3528810889307427,0.86
0.35879816525573804,0.86
0.30869936828683886,0.86
0.5033053353905158,0.86
0.44699374549750454,0.86
0.4698259060707064,0.86
0.38060904406869556,0.86
0.3231671522563344,0.86
0.6839778950848612,0.86
0.6103594089502451,0.86
0.44402528621220133,0.86
0.5275197692341609,0.86
0.373078908166598,0.86
0.6970743539825701,0.86
0.42513502469223896,0.86
0.37949144973757176,0.86
0.46850716859718117,0.86
0.48483894242626713,0.86
0.41722325256612897,0.86
0.33532160975641206,0.86
0.30339261801972023,0.86
0.4614840192359059,0.86
0.4800757635732605,0.86
0.5366290678822813,0.86
0.37880994490352315,0.86
0.48221486828273813,0.86
0.31632073169347164,0.86
0.3390692069445907,0.86
0.39487514623409015,0.86
0.4702035254931996,0.86
0.24357797379687118,0.86
0.3594554074624433,0.86
0.418683710816947,0.86
0.3968006303033288,0.86
0.5436666076800922,0.86
0.338454554171395,0.86
0.38233830378554423,0.86
0.4507720244068561,0.86
0.31794157581219684,0.86
0.5375714482410114,0.86
0.4292009464432507,0.86
0.39654857536520105,0.86
0.6362522669537611,0.86
0.43745383807328797,0.86
0.5048141887367554,0.86
0.3478145789742687,0.86
0.31199621815407197,0.86
0.4801525062639896,0.86
0.5382200044629449,0.86
0.3045150070099772,0.86
0.459551393225554,0.86
0.5133704632294741,0.86
0.5115813358959272,0.86
0.3578676063500173,0.86
0.3865062455990483,0.86
0.39612464683047066,0.86
0.29366872307303127,0.86
0.4971104962672681,0.86
0.37056691798379193,0.86
0.5153932973657617,0.86
0.37240589665342894,0.86
0.5020705074651558,0.86
0.3438014336250679,0.86
0.3912468548190854,0.86
0.28525183705422535,0.86
0.39700900870266975,0.86
0.24117794886895594,0.86
0.529062564828494,0.86
0.7081428763186962,0.86
0.4047966326277083,0.86
0.5567004235219412,0.86
0.47086249126501806,0.86
0.45022485701293996,0.86
0.5284719894837082,0.86
0.32420110167225735,0.86
0.39394191714603727,0.86
0.4069499633326335,0.86
0.3275172646563264,0.86
0.35443084943822045,0.86
0.33941326040909675,0.86
0.3383246576271979,0.86
0.4828538687193855,0.86
0.37589629909390304,0.86
0.3476085305458744,0.86
0.49614545051601056,0.86
0.5008305920314328,0.86
0.4182426974380067,0.86
0.5827839708024074,0.86
0.5339003690932318,0.86
0.7943415907770448,0.86
0.30610049570270065,0.86
0.3866392011680818,0.86
0.4195764135193685,0.86
0.36756842225992814,0.86
0.4555756198399412,0.86
0.3469562514993216,0.86
0.3702329433608757,0.86
0.4651544006441824,0.86
0.554358754922756,0.86
0.4025382572561697,0.86
0.5046809868471195,0.86
0.30461946265622797,0.86
0.404537974426271,0.86
0.4553274433058222,0.86
0.42124028166019223,0.86
0.46816547455373586,0.86
0.6923603245983961,0.86
0.4227361489901234,0.86
0.40753953626655626,0.86
0.4927357370909885,0.86
0.6374325287140516,0.86
0.4082063924044645,0.86
0.5583703198905777,0.86
0.4199475241697728,0.86
0.6582849307789468,0.86
0.4476456340309931,0.86
0.2547006370799721,0.86
0.41451124954849106,0.86
0.33695604168278126,0.86
0.39022368433057786,0.86
0.5302687222880555,0.86
0.4571237858621195,0.86
0.3648431815979249,0.86
0.5342974648478078,0.86
0.3250482024841715,0.86
0.5575838777361339,0.86
0.45761261020306887,0.86
0.3306338473729756,0.86
0.4051862024617039,0.86
0.5602053405177391,0.86
0.32146505531857433,0.86
0.4073367206023406,0.86
0.4238582133888169,0.86
0.5202967118917656,0.86
0.4798175304541955,0.86
0.3893879377032549,0.86
0.44150173743617566,0.86
0.4055150627691862,0.86
0.2402091392941489,0.86
0.5001623858331273,0.86
0.47355947777991086,0.86
0.4088021296124631,0.86
0.43032097529102686,0.86
0.30484996376280543,0.86
0.4399515175068412,0.86
0.47241207869525575,0.86
0.34813716222527813,0.86
0.6241865438210564,0.86
0.4471169886345435,0.86
0.3490492452242088,0.86
0.4549324225126737,0.86
0.4582359137735816,0.86
0.4224427289674091,0.86
0.3603101282155689,0.86
0.6144973062927191,0.86
0.46698729842053127,0.86
0.40285178111126074,0.86
0.3291529763798008,0.86
0.4221965652243544,0.86
0.3276442565424287,0.86
0.4723078377333131,0.86
0.12838483136745713,0.86
0.4722299365759568,0.86
0.2758840136325449,0.86
0.2929387728580223,0.86
0.42440632245748416,0.86
0.7710341286859377,0.86
0.3349256104026561,0.86
0.49145957048063654,0.86
0.35552182777909325,0.86
0.3576278622207839,0.86
0.8099780857311674,0.86
0.4060403624298689,0.86
0.5051412525005737,0.86
0.30720843448045226,0.86
0.4529281565126689,0.86
0.5505432712436913,0.86
0.421899662349157,0.86
0.296869831400516,0.86
0.44109945510476434,0.86
0.48646019140459346,0.86
0.4068183527534074,0.86
0.46439848874454503,0.86
